Type,Categoria
Barbearia,Salões de Beleza
Cartório de Registro Civil,Serviços Jurídicos
Casa de campo,Hotelaria
Centro comercial,Condomínios
Centro de saúde e beleza,Salões de Beleza
Centro espírita,Lojas em Geral
Centro médico,Lojas em Geral
Clínica especializada,Salões de Beleza
Companhia de gás,Lojas em Geral
Complexo de apartamentos,Condomínios
Complexo de condomínio,Condomínios
Complexo habitacional,Condomínios
Complexo residencial,Condomínios
Comunidade privada,Condomínios
Construtora,Condomínios
Consultoria em Marketing,Serviços Jurídicos
Depilação,Salões de Beleza
Depósito,Lojas em Geral
Desenvolvimento de moradias,Condomínios
Empresa de engenharia civil,Condomínios
Empresa de Software,Lojas em Geral
Escola,Lojas em Geral
Escola de profissionais de beleza,Salões de Beleza
Escola particular,Lojas em Geral
Escritório da empresa,Serviços Jurídicos
Fabricante,Lojas em Geral
Ferro velho,Oficinas Mecânicas
Ferro-velho,Oficinas Mecânicas
Floricultura,Lojas em Geral
Fornecedor de bebidas,Lojas em Geral
Fornecedor de produtos promocionais,Lojas em Geral
Hospital,Lojas em Geral
Hotel,Hotelaria
Igreja,Lojas em Geral
Igreja Assembleia de Deus,Lojas em Geral
Imobiliária,Serviços Jurídicos
Importadora,Serviços Jurídicos
Lavanderia,Lojas em Geral
Limpeza,Lojas em Geral
Loja,Lojas em Geral
Loja de cosmético,Salões de Beleza
Loja de materiais de construção,Lojas em Geral
Loja de materiais para escritório,Lojas em Geral
Loja de produtos de beleza,Salões de Beleza
Loja especializada em ar-condicionado,Lojas em Geral
Loteamento de terrenos,Condomínios
Manicure,Salões de Beleza
Mercearia atacadista,Mercados e Padarias
Oficina de inspeção veicular,Oficinas Mecânicas
Oficina mecânica,Oficinas Mecânicas
Organização de serviço social,Serviços Jurídicos
Organização sem fins lucrativos,Serviços Jurídicos
Parque,Lojas em Geral
Pensão,Condomínios
Posto de saúde comunitário,Serviços Jurídicos
Prefeitura,Serviços Jurídicos
Prestador de serviços públicos,Serviços Jurídicos
Profissional de serviços de beleza,Salões de Beleza
Revendedora de carros usados,Venda de Veículos
Salão de Beleza,Salões de Beleza
Salão de sobrancelhas,Salões de Beleza
Seminário,Lojas em Geral
Serralharia,Lojas em Geral
Serviço de aluguel de móveis,Lojas em Geral
Serviço de depilação a laser,Salões de Beleza
Serviço de emagrecimento,Lojas em Geral
Serviço de gerenciamento de descartes,Lojas em Geral
Serviço de informática,Lojas em Geral
Serviço de transporte,Lojas em Geral
Tornearia,Oficinas Mecânicas
Universidade particular,Lojas em Geral
Vidraçaria,Lojas em Geral
Academia,Lojas em Geral
Acessórios para móveis,Lojas em Geral
Açougue,Mercados e Padarias
Açougue gourmet,Mercados e Padarias
Acupunturista,Lojas em Geral
Adega,Mercados e Padarias
Advogado,Serviços Jurídicos
Advogado administrativo,Serviços Jurídicos
Advogado Civil,Serviços Jurídicos
Advogado contencioso,Serviços Jurídicos
Advogado criminal,Serviços Jurídicos
Advogado de Direito de Família,Serviços Jurídicos
Advogado de falência,Serviços Jurídicos
Advogado de imigração,Serviços Jurídicos
Advogado de patentes,Serviços Jurídicos
Advogado de planejamento de espólio,Serviços Jurídicos
Advogado de práticas gerais,Serviços Jurídicos
Advogado de seguros,Serviços Jurídicos
Advogado especialista em direito médico,Serviços Jurídicos
Advogado especialista em divórcios,Serviços Jurídicos
Advogado imobiliário,Serviços Jurídicos
Advogado previdenciário,Serviços Jurídicos
Advogado processual,Serviços Jurídicos
Advogado trabalhista,Serviços Jurídicos
Advogado tributarista,Serviços Jurídicos
Aeroporto,Lojas em Geral
Agência de aluguel de carros,Venda de Veículos
Agência de Cobrança,Serviços Jurídicos
Agência de comércio eletrônico,Lojas em Geral
Agência de emplacamento de automóveis,Venda de Veículos
Agência de empréstimos,Lojas em Geral
Agência de locação de equipamentos,Lojas em Geral
Agência de locação de guindastes,Lojas em Geral
Agência de locação de vans,Lojas em Geral
Agência de Marketing,Serviços Jurídicos
Agência de marketing digital,Serviços Jurídicos
Agência de passagens de ônibus,Lojas em Geral
Agência de publicidade,Serviços Jurídicos
Agência de seguros,Serviços Jurídicos
Agência de turismo,Hotelaria
Agência de viagens,Lojas em Geral
Agência de viagens de ônibus,Lojas em Geral
Agente comercial,Lojas em Geral
Agente comercial de carros,Venda de Veículos
Agente imobiliário,Serviços Jurídicos
Agricultura e pecuária,Lojas em Geral
Albergue,Hotelaria
Alfaiate,Lojas em Geral
Alimentação,Mercados e Padarias
Alojamento coberto,Hotelaria
Alojamento com cozinha própria,Hotelaria
Aluguel de veículos,Venda de Veículos
Animador,Lojas em Geral
Antiquário,Lojas em Geral
Apart hotel,Hotelaria
Apartamento para aluguel de temporada,Hotelaria
Apartamento para férias,Hotelaria
Apartamentos,Condomínios
Apiário,Lojas em Geral
Área de escritórios,Serviços Jurídicos
Arena,Lojas em Geral
Armarinho,Lojas em Geral
Armazém,Lojas em Geral
Arquiteto,Lojas em Geral
Arte,Lojas em Geral
Artesanato,Lojas em Geral
Assessoria contábil,Serviços Jurídicos
Assessoria de recursos humanos,Serviços Jurídicos
Assistência jurídica,Serviços Jurídicos
Assistência médica,Serviços Jurídicos
Assistência Técnica,Oficinas Mecânicas
Assistência técnica de eletrodomésticos,Lojas em Geral
Assistência Técnica de Informática,Lojas em Geral
